"","AnimalID","TestSite","Mouse.Strain","Genotype","Sex","Age.Months","Task","Day"
"260","gt107f230","Site2","5xFAD","5xFAD","Female","10","sPAL Acquisition 1",1
"261","gw100f200","Site2","5xFAD","B6SJLF1/J","Female","10","sPAL Acquisition 1",1
"262","gw100f202","Site2","5xFAD","B6SJLF1/J","Female","10","sPAL Acquisition 1",1
"263","gw100f203","Site2","5xFAD","B6SJLF1/J","Female","10","sPAL Acquisition 1",1
"264","gw101f205","Site2","5xFAD","B6SJLF1/J","Female","10","sPAL Acquisition 1",1
"265","gw101f206","Site2","5xFAD","B6SJLF1/J","Female","10","sPAL Acquisition 1",1
"266","gw101f207","Site2","5xFAD","B6SJLF1/J","Female","10","sPAL Acquisition 1",1
"267","gw102f208","Site2","5xFAD","B6SJLF1/J","Female","10","sPAL Acquisition 1",1
"268","gw102f210","Site2","5xFAD","B6SJLF1/J","Female","10","sPAL Acquisition 1",1
"269","gw102f211","Site2","5xFAD","B6SJLF1/J","Female","10","sPAL Acquisition 1",1
"270","gw103f212","Site2","5xFAD","B6SJLF1/J","Female","10","sPAL Acquisition 1",1
"271","gw103f214","Site2","5xFAD","B6SJLF1/J","Female","10","sPAL Acquisition 1",1
"272","gw103f215","Site2","5xFAD","B6SJLF1/J","Female","10","sPAL Acquisition 1",1
"273","lt264f326","Site1","5xFAD","5xFAD","Male","10","sPAL Acquisition 1",1
"274","lt265f327","Site1","5xFAD","5xFAD","Male","10","sPAL Acquisition 1",1
"275","lt266f328","Site1","5xFAD","5xFAD","Male","10","sPAL Acquisition 1",1
"276","lt267f329","Site1","5xFAD","5xFAD","Male","10","sPAL Acquisition 1",1
"277","lt268f330","Site1","5xFAD","5xFAD","Male","10","sPAL Acquisition 1",1
"278","lt269f331","Site1","5xFAD","5xFAD","Male","10","sPAL Acquisition 1",1
"279","lt271f333","Site1","5xFAD","5xFAD","Male","10","sPAL Acquisition 1",1
"280","lt272f334","Site1","5xFAD","5xFAD","Male","10","sPAL Acquisition 1",1
"281","lt273f335","Site1","5xFAD","5xFAD","Male","10","sPAL Acquisition 1",1
"282","lt274f336","Site1","5xFAD","5xFAD","Male","10","sPAL Acquisition 1",1
"283","lt276f338","Site1","5xFAD","5xFAD","Male","10","sPAL Acquisition 1",1
"284","lt277f339","Site1","5xFAD","5xFAD","Male","10","sPAL Acquisition 1",1
"285","lt278f340","Site1","5xFAD","5xFAD","Male","10","sPAL Acquisition 1",1
"286","lw248f310","Site1","5xFAD","B6SJLF1/J","Male","10","sPAL Acquisition 1",1
"287","lw249f311","Site1","5xFAD","B6SJLF1/J","Male","10","sPAL Acquisition 1",1
"288","lw250f312","Site1","5xFAD","B6SJLF1/J","Male","10","sPAL Acquisition 1",1
"289","lw251f313","Site1","5xFAD","B6SJLF1/J","Male","10","sPAL Acquisition 1",1
"290","lw253f315","Site1","5xFAD","B6SJLF1/J","Male","10","sPAL Acquisition 1",1
"291","lw254f316","Site1","5xFAD","B6SJLF1/J","Male","10","sPAL Acquisition 1",1
"292","lw255f317","Site1","5xFAD","B6SJLF1/J","Male","10","sPAL Acquisition 1",1
"293","lw256f318","Site1","5xFAD","B6SJLF1/J","Male","10","sPAL Acquisition 1",1
"294","lw257f319","Site1","5xFAD","B6SJLF1/J","Male","10","sPAL Acquisition 1",1
