 Animal ID, Site, Mouse strain, Genotype, Gender,SessionType
 gw129a238, UOG, APPPS1, w,F,2
 gw129a238, UOG, APPPS1, w,F,2
 gw129a239, UOG, APPPS1, w,F,2
 gw129a239, UOG, APPPS1, w,F,2
 gw129a239, UOG, APPPS1, w,F,2
 gw129a239, UOG, APPPS1, w,F,2
 gw129a239, UOG, APPPS1, w,F,2
 gw12f023, UOG, 5FAD, w,M,2
 gw12f023, UOG, 5FAD, w,M,2
 gw12f023, UOG, 5FAD, w,M,2
 gw12f023, UOG, 5FAD, w,M,2
 gw12f023, UOG, 5FAD, w,M,2
 gw12f023, UOG, 5FAD, w,M,2
 gw12f023, UOG, 5FAD, w,M,2
 gw12f023, UOG, 5FAD, w,M,2
 gw12f023, UOG, 5FAD, w,M,2
 gw12f023, UOG, 5FAD, w,M,2
 gw12f023, UOG, 5FAD, w,M,2
 gw12f023, UOG, 5FAD, w,M,2
 gw12f023, UOG, 5FAD, w,M,2
 gw12f023, UOG, 5FAD, w,M,2
 gw12f023, UOG, 5FAD, w,M,2
 gw12f023, UOG, 5FAD, w,M,2
 gw12f023, UOG, 5FAD, w,M,2
 gw12f023, UOG, 5FAD, w,M,2
 gw12f023, UOG, 5FAD, w,M,2
 gw12f023, UOG, 5FAD, w,M,2
 gw12f023, UOG, 5FAD, w,M,2
 gw12f023, UOG, 5FAD, w,M,2
 gw12f023, UOG, 5FAD, w,M,2
 gw12f023, UOG, 5FAD, w,M,2
 gw12f023, UOG, 5FAD, w,M,2
 gw12f023, UOG, 5FAD, w,M,2
 gw12f023, UOG, 5FAD, w,M,2
 gw12f023, UOG, 5FAD, w,M,2
 gw12f023, UOG, 5FAD, w,M,2
 gw12f024, UOG, 5FAD, w,M,2
 gw12f024, UOG, 5FAD, w,M,2
 gw12f024, UOG, 5FAD, w,M,2
 gw12f024, UOG, 5FAD, w,M,2
 gw12f024, UOG, 5FAD, w,M,2
 gw12f024, UOG, 5FAD, w,M,2
 gw12f024, UOG, 5FAD, w,M,2
 gw12f024, UOG, 5FAD, w,M,2
 gw12f024, UOG, 5FAD, w,M,2
 gw12f024, UOG, 5FAD, w,M,2
 gw12f024, UOG, 5FAD, w,M,2
 gw12f024, UOG, 5FAD, w,M,2
 gw12f024, UOG, 5FAD, w,M,2
